Evidence layer,Age,Model-conditional EV-A71 reduction,Model-conditional CV-A16 increase,Model-conditional net balance,Retained fraction of EV-A71 reduction
Conditional bootstrap,All ages,"25,248.4 (24,483.8 to 26,403.2)","15,948.0 (14,568.6 to 17,262.8)","9,356.2 (8,228.4 to 10,548.9)",36.997% (32.574% to 41.621%)
Conditional bootstrap,<1 year,"4,471.5 (4,395.6 to 4,780.2)","1,629.3 (1,479.0 to 1,828.1)","2,859.0 (2,711.8 to 3,048.4)",63.742% (60.496% to 66.681%)
Conditional bootstrap,1–2 years,"13,324.8 (12,929.8 to 13,761.7)","11,623.6 (10,755.6 to 12,548.6)","1,689.6 (1,019.1 to 2,399.3)",12.671% (7.484% to 18.225%)
Conditional bootstrap,3–5 years,"3,578.5 (3,448.5 to 3,729.1)","1,726.1 (1,397.2 to 2,076.0)","1,843.9 (1,490.9 to 2,257.9)",51.666% (41.818% to 61.423%)
Conditional bootstrap,6–14 years,"3,548.6 (3,181.6 to 3,871.9)",784.68 (572.62 to 885.01),"2,739.0 (2,387.9 to 3,316.6)",77.573% (74.070% to 85.153%)
Conditional bootstrap,≥15 years,336.33 (302.58 to 388.70),166.74 (148.83 to 190.59),169.80 (133.36 to 220.04),50.550% (42.266% to 57.595%)
Observation-anchored reconstruction,All ages,"35,475.0 (24,776.7 to 52,430.7)","16,464.1 (9,402.3 to 19,872.1)","19,387.1 (9,374.2 to 35,942.6)",54.427% (35.449% to 74.888%)
Observation-anchored reconstruction,<1 year,"5,253.3 (4,439.8 to 6,291.2)","2,322.1 (1,818.3 to 2,850.0)","2,947.6 (1,953.0 to 4,023.5)",56.025% (42.153% to 66.745%)
Observation-anchored reconstruction,1–2 years,"10,425.6 (8,956.6 to 12,346.2)","13,432.7 (11,628.4 to 15,095.0)","-2,970.8 (-4,994.2 to -641.96)",-28.422% (-53.077% to -5.712%)
Observation-anchored reconstruction,3–5 years,"16,312.2 (7,883.7 to 29,036.4)","790.74 (-2,111.9 to 2,473.2)","15,728.5 (7,462.1 to 27,930.0)",95.272% (84.282% to 117.36%)
Observation-anchored reconstruction,6–14 years,"3,290.8 (2,113.5 to 5,699.1)","-425.30 (-4,518.2 to 1,061.4)","3,869.8 (1,817.3 to 8,151.1)",112.52% (67.802% to 244.02%)
Observation-anchored reconstruction,≥15 years,239.71 (85.340 to 457.71),349.29 (187.43 to 531.79),-106.54 (-369.99 to 188.89),-44.800% (-358.20% to 45.183%)
