scope,point_ensemble,draw_count,probability_delta_gt_zero,probability_mcse,delta_q025,delta_q05,delta_median,delta_q975,retained_ratio_q025,retained_ratio_q05,retained_ratio_median,retained_ratio_q975,decision_label
all_ages,22196.976748827379,2000,1,0,14873.211112978139,16403.840123630871,22627.139173941541,36344.07568809716,0.59668973207117004,0.62546435785822307,0.84428919870449892,1.2323959510160241,NET_BENEFIT_CONFIRMED
lt1,4253.7258293997884,2000,1,0,3210.379546026355,3365.2398225709908,4159.6341212241323,5254.329216758344,0.69941273911252166,0.72132229780938906,0.85804591286956011,1,NET_BENEFIT_CONFIRMED
age1_2,10509.574884056838,2000,1,0,7296.769699174617,7871.5693021348952,10524.650355178532,17437.220251113882,0.57705837493420109,0.60933877981187712,0.78999348128319213,1.3026114686216366,NET_BENEFIT_CONFIRMED
age3_5,2657.9010267052004,2000,0.98599999999999999,0.0026271657732240663,441.44287920174321,931.27122514087102,3178.6862174581111,11874.506036202845,0.17245209248635718,0.32288378237262583,0.8871495173621311,1.579774734169497,NET_BENEFIT_CONFIRMED
age6_14,4439.4982788605175,2000,1,0,2355.7084312601582,2620.4188406339781,3902.1330448212475,5923.7403086938184,0.71738440346655818,0.76204753652006363,0.99441681779179825,1.0784728034773066,NET_BENEFIT_CONFIRMED
age15plus,336.2767298050714,2000,1,0,206.79050882541262,225.98287414846152,329.10113007338606,517.92158059075564,0.53599798906469276,0.57214476965500993,0.80386751292231118,1.1417325603504027,NET_BENEFIT_CONFIRMED
