quantity,family,point_estimate,q025,median,q975
No cross-path,Structures,1.43688551589851e-17,0,5.97744255870229e-18,0.192001119962209
CV-A16 path only,Structures,0.693732900547619,0.369282655735668,0.708947619737688,0.952376059802803
Other-enterovirus path only,Structures,0.143774408843821,0,0.111883688255364,0.328227868139351
Both paths,Structures,0.16249269060856,1.38777878078145e-17,0.1391509105231,0.499441143185969
CV-A16 path included,Pathways,0.856225591156179,0.666052519554971,0.869806450672611,0.999501762806594
Other-enterovirus path included,Pathways,0.306267099452381,0.0283114374877034,0.274088364276347,0.62055683798604
