scope,scenario,draw_count,probability_net_benefit_positive,probability_mcse,net_benefit_q025,net_benefit_q05,net_benefit_median,net_benefit_q975,age_label
lt1,Registered offsets (1x),2000,1,0,3210.37954602635,3365.23982257099,4159.63412122414,5254.32921675835,<1
age1_2,Registered offsets (1x),2000,1,0,7296.76969917462,7871.56930213489,10524.6503551785,17437.2202511139,1-2
age3_5,Registered offsets (1x),2000,0.986,0.00262716577322407,441.442879201744,931.271225140871,3178.68621745811,11874.5060362029,3-5
age6_14,Registered offsets (1x),2000,1,0,2355.70843126016,2620.41884063398,3902.13304482125,5923.74030869382,6-14
age15plus,Registered offsets (1x),2000,1,0,206.790508825412,225.982874148462,329.101130073386,517.921580590756,15+
lt1,Both offsets doubled (2x),2000,1,0,1915.12382157948,2143.01885914005,3430.98872945975,5230.04649033228,<1
age1_2,Both offsets doubled (2x),2000,0.9885,0.00238408787589719,1933.45645985297,2824.6885516455,7771.5622595381,21167.1508051971,1-2
age3_5,Both offsets doubled (2x),2000,0.8725,0.00745800744166966,-1822.69829768161,-1339.43015576933,2759.53338897428,12546.6857031416,3-5
age6_14,Both offsets doubled (2x),2000,0.9995,0.000499874984371065,1632.11069897524,1937.31868863375,3825.19430795716,6108.00803436164,6-14
age15plus,Both offsets doubled (2x),2000,0.9895,0.00227922684259377,29.8081422525166,58.705865588615,249.199770634076,543.053202409997,15+
