finding,value,unit,source
complete_week_reported_cases,1915678,reports,observation_adjustment_summary.csv
reports_with_resolvable_final_pathogen_label,93844,reports,observation_adjustment_summary.csv
overall_resolvable_label_fraction,4.90,percent,observation_adjustment_summary.csv
pre_vaccine_ev_a71_share,43.4,percent,pathogen_composition_by_period.csv
early_post_vaccine_ev_a71_share,29.4,percent,pathogen_composition_by_period.csv
early_post_vaccine_other_enterovirus_share,50.9,percent,pathogen_composition_by_period.csv
net_benefit_point_ensemble,22196.976748827379,reported-case proxies,net_benefit_summary.csv
net_benefit_ensemble_median,22627.139173941541,reported-case proxies,net_benefit_summary.csv
net_benefit_q05,16403.840123630871,reported-case proxies,net_benefit_summary.csv
net_benefit_positive_draw_fraction,1,fraction,net_benefit_summary.csv
ev_a71_reduction_ensemble_median,27466.1595464886,reported-case proxies,pathogen_contribution_summary.csv
cv_a16_added_case_ensemble_median,4102.44077672,reported-case proxies,pathogen_contribution_summary.csv
retained_ev_a71_reduction_median,84.4289198704,percent,net_benefit_summary.csv
cv_a16_path_inclusion_weight,0.856225591156179,predictive weight,predictive_weight_summary.csv
other_enterovirus_path_inclusion_weight,0.306267099452381,predictive weight,predictive_weight_summary.csv
recorded_severe_primary_median_reduction,466.01150412088,recorded severe cases/year,recorded_severe_period_summary.csv
recorded_severe_primary_positive_fraction,0.8715,fraction,recorded_severe_period_summary.csv
annual_validation_years_favouring_m2,5,of 7 years,annual_model_validation.csv
ev_a71_reported_case_change,-21218.1082089,reports/year,case_severity_burden_summary.csv
non_ev_a71_reported_case_change,15076.4574794,reports/year,case_severity_burden_summary.csv
ev_a71_recorded_severe_change,-458.301940809,reports/year,case_severity_burden_summary.csv
non_ev_a71_recorded_severe_change,-62.3131003999,reports/year,case_severity_burden_summary.csv
