family,outcome,comparison,scope,analysis_role,metric,unit,point_estimate,bootstrap_median,lower_95,upper_95,n_bootstrap,n_finite,denominator_positive_probability,interval_status,interval_method,uncertainty_interpretation,source_table,display_order
compensation,case,first_draft_2010_15_vs_2017_19,ipw,primary,ev_change_post_minus_pre,reported_cases_per_year,-21218.1082089303,-19848.902780058,-61365.705686941,16932.2329767199,2000,2000,0.856,estimated,hierarchical_circular_moving_block_percentile,"hierarchical circular moving-block surveillance-period variability; not causal, observation-model-parameter, or diagnostic-misclassification uncertainty",bootstrap_intervals.csv,1
compensation,case,first_draft_2010_15_vs_2017_19,ipw,primary,non_ev_change,reported_cases_per_year,15076.4574793532,15740.056383263,-29519.9362588049,62504.3441578258,2000,2000,0.856,estimated,hierarchical_circular_moving_block_percentile,"hierarchical circular moving-block surveillance-period variability; not causal, observation-model-parameter, or diagnostic-misclassification uncertainty",bootstrap_intervals.csv,2
compensation,case,first_draft_2010_15_vs_2017_19,ipw,primary,compensation_ratio,ratio,0.710546733521128,,,,2000,2000,0.856,withheld_ev_decline_denominator_not_identified,hierarchical_circular_moving_block_percentile,"hierarchical circular moving-block surveillance-period variability; not causal, observation-model-parameter, or diagnostic-misclassification uncertainty",bootstrap_intervals.csv,3
compensation,severe,preguideline_2013_15_vs_2017_2018jul,ipw,primary,ev_change_post_minus_pre,recorded_severe_cases_per_year,-458.301940808849,-422.579344752483,-1158.47839181757,-23.5280891348143,2000,2000,0.985,estimated,hierarchical_circular_moving_block_percentile,"hierarchical circular moving-block surveillance-period variability; not causal, observation-model-parameter, or diagnostic-misclassification uncertainty",bootstrap_intervals.csv,4
compensation,severe,preguideline_2013_15_vs_2017_2018jul,ipw,primary,non_ev_change,recorded_severe_cases_per_year,-62.3131003999429,-43.8329527470073,-446.261240487843,276.863506499468,2000,2000,0.985,estimated,hierarchical_circular_moving_block_percentile,"hierarchical circular moving-block surveillance-period variability; not causal, observation-model-parameter, or diagnostic-misclassification uncertainty",bootstrap_intervals.csv,5
bridge,joint,preguideline_2013_15_vs_2017_2018jul,not_applicable,primary,decoupling_ratio,ratio,0.422453598801239,0.450499228439325,0.241541394292182,0.983238540057074,2000,2000,,estimated,hierarchical_circular_moving_block_percentile,"hierarchical circular moving-block surveillance-period variability; not causal, observation-model-parameter, or diagnostic-misclassification uncertainty",decoupling_bridge.csv,6
bridge,joint,preguideline_2013_15_vs_2017_2018jul,not_applicable,primary,age_standardized_decoupling_ratio,ratio,0.451948872486442,0.482047490515628,0.261151812011959,1.03743763197133,2000,2000,,estimated,hierarchical_circular_moving_block_percentile,"hierarchical circular moving-block surveillance-period variability; not causal, observation-model-parameter, or diagnostic-misclassification uncertainty",decoupling_bridge.csv,7
bridge,joint,preguideline_2010_15_vs_2017_2018jul,not_applicable,sensitivity,decoupling_ratio,ratio,0.292517251503578,0.306893047372068,0.15420806222293,0.747951760470199,2000,2000,,estimated,hierarchical_circular_moving_block_percentile,"hierarchical circular moving-block surveillance-period variability; not causal, observation-model-parameter, or diagnostic-misclassification uncertainty",decoupling_bridge.csv,8
bridge,joint,preguideline_2010_15_vs_2017_2018jul,not_applicable,sensitivity,age_standardized_decoupling_ratio,ratio,0.309840590222914,0.325404482470138,0.167403540509097,0.796701384717884,2000,2000,,estimated,hierarchical_circular_moving_block_percentile,"hierarchical circular moving-block surveillance-period variability; not causal, observation-model-parameter, or diagnostic-misclassification uncertainty",decoupling_bridge.csv,9
severe_sharp_bounds,severe,preguideline_2013_15_vs_2017_2018jul,not_applicable,primary,maximum_compatible_compensation_ratio,ratio,0.357534981632063,0.379470623408749,0.0453799107793592,1.73680879645922,2000,2000,,estimated,hierarchical_circular_moving_block_percentile,"hierarchical circular moving-block surveillance-period variability; not causal, observation-model-parameter, or diagnostic-misclassification uncertainty",severe_sharp_bounds_intervals.csv,10
