Epidemiological period,Years,Annualized reported HFMD proxies,EV-A71 share,CV-A16 share,Other-enterovirus share
Pre-vaccine,2010–2015,"143,251",43.4%,20.6%,36.0%
Transition,2016,"184,923",43.2%,23.6%,33.3%
Early post-vaccine,2017–2019,"137,109",29.4%,19.7%,50.9%
Pandemic,2020–2022,"72,884",38.9%,14.4%,46.7%
Recent post-vaccine,2023–2025,"80,608",32.7%,18.9%,48.4%
